Row_ID,Branch,Branch_Code,Region,Tier,Quarter,Product_Category,Revenue_USD,Orders,Avg_Order_Value_USD,Returns,Net_Revenue_USD,Growth_Pct,CSAT_Score,Headcount
1,New York,NY,Northeast,Enterprise,Q1 2024,Software Licenses,247621,177,1398.99,8,236429.08,-0.5,3.2,13
2,Los Angeles,LA,West,Enterprise,Q2 2024,Hardware,106868,399,267.84,27,99636.32,-10.5,3.4,10
3,Chicago,CH,Midwest,Enterprise,Q3 2024,Professional Services,137314,239,574.54,0,137314.0,14.4,4.1,50
4,Houston,HO,South,Mid-Market,Q4 2024,Maintenance Contracts,72590,149,487.18,3,71128.46,9.1,4.2,11
5,Phoenix,PH,Southwest,Mid-Market,Q1 2025,Cloud Solutions,83046,60,1384.1,1,81661.9,20.8,4.6,13
6,Philadelphia,PL,Northeast,Mid-Market,Q1 2024,Security Products,48210,79,610.25,5,45158.75,-7.2,3.6,15
7,San Antonio,SA,South,SMB,Q2 2024,Software Licenses,11169,42,265.93,4,10105.28,0.4,4.7,2
8,San Diego,SD,West,Mid-Market,Q3 2024,Hardware,77823,118,659.52,6,73865.88,-8.3,4.2,12
9,Dallas,DA,South,Enterprise,Q4 2024,Professional Services,244794,305,802.6,22,227136.8,-8.7,4.2,47
10,San Jose,SJ,West,SMB,Q1 2025,Maintenance Contracts,15467,69,224.16,0,15467.0,28.2,3.7,3
11,Austin,AU,South,SMB,Q1 2024,Cloud Solutions,20455,37,552.84,2,19349.32,-4.4,4.0,7
12,Jacksonville,JK,South,SMB,Q2 2024,Security Products,14865,62,239.76,5,13666.2,18.5,3.7,4
13,Fort Worth,FW,South,SMB,Q3 2024,Software Licenses,25502,66,386.39,3,24342.83,5.8,3.6,10
14,Columbus,CO,Midwest,SMB,Q4 2024,Hardware,15196,63,241.21,6,13748.74,24.5,3.8,5
15,Charlotte,CL,Southeast,Mid-Market,Q1 2025,Professional Services,83857,64,1310.27,3,79926.19,0.6,4.6,9
